show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s145,movie,house party,reginald hudlin,"christopher reid, christopher martin, robin harris, tisha campbell, a.j. johnson, martin lawrence, paul anthony, bowlegged lou, b-fine, edith fields, kelly jo minter, clifton powell, verda bridges",United States,2021-09-01,1990,r,104,"comedies, cult movies","grounded by his strict father, kid risks life and limb to go to his best friend play's big bash but experiences one obstacle after another."
s146,movie,house party 2,"george jackson, doug mchenry","christopher reid, christopher martin, martin lawrence, bowlegged lou, paul anthony, b-fine, tisha campbell, kamron, iman, queen latifah",United States,2021-09-01,1991,r,94,"comedies, cult movies, music & musicals","kid goes off to college with scholarship money but when play loses kid's tuition funds to a shady music promoter, they devise a wild plan to raise cash."
s147,movie,house party 3,eric meza,"christopher reid, christopher martin, tisha campbell, david edwards, angela means, ketty lester, bernie mac, michael colyar, chris tucker, khandi alexander",United States,2021-09-01,1994,r,94,"comedies, music & musicals","after kid gets engaged, play plans to throw the biggest bachelor party ever. but every celebration for these two always comes with complications."
s150,movie,i got the hook up,michael martin,"master p, anthony johnson, gretchen palmer, frantz turner, richard keats, joe estevez, william knight, anthony boswell, tommy 'tiny' lister, helen martin, john witherspoon, mia x",United States,2021-09-01,1998,r,93,"action & adventure, comedies","after getting their hands on a misdirected shipment of cell phones, two hustlers try to cash in by hawking the merchandise from the back of their van."
s151,movie,in too deep,michael rymer,"omar epps, ll cool j, nia long, stanley tucci, pam grier, hill harper, jake weber, david patrick kelly, veronica webb, ron canada, robert lasardo, gano grills, ivonne coll, don harvey, mya, nasir 'nas' jones, jermaine dupri",United States,2021-09-01,1999,r,97,thrillers,"rookie cop jeffrey cole poses as a drug dealer to take down a crime lord and soon gets caught up in an underworld of bribery, intimidation and murder."
s152,movie,initial d,"andrew lau wai-keung, alan mak","jay chou, anne suzuki, edison chen, anthony wong chau-sang, shawn yue, chapman to, jordan chan, kenny bee","China, Hong Kong",2021-09-01,2005,tv-14,109,"action & adventure, international movies","by day, an 18-year-old delivers tofu for his father, a retired race car driver; but by night, it's the teen's turn to take the wheel."
s153,movie,janoskians: untold and untrue,brett weiner,"jai brooks, luke brooks, james yammouni, daniel sahyounie, beau brooks",United States,2021-09-01,2016,tv-ma,88,comedies,follow the story of three australian brothers and their two friends who became an international sensation by posting pranks and gags on youtube.
s156,movie,labyrinth,jim henson,"david bowie, jennifer connelly, frank oz, kevin clash, anthony asbury, dave goelz, brian henson, ron mueck, karen prell, shari weiser","United Kingdom, United States",2021-09-01,1986,pg,101,"action & adventure, children & family movies, cult movies","in jim henson's fantasy, teen sarah embarks on a life-altering quest to rescue her little brother from the clutches of a treacherous goblin."
s157,movie,letters to juliet,gary winick,"amanda seyfried, christopher egan, gael garcía bernal, vanessa redgrave, franco nero, luisa ranieri, marina massironi, milena vukotic, marcia debonis, luisa de santis, lidia biondi, giordano formenti, chris egan",United States,2021-09-01,2010,pg,105,"comedies, dramas, romantic movies","by responding to a letter addressed to shakespeare's tragic heroine juliet capulet, an american woman in verona, italy, is led in search of romance."
s158,movie,level 16,danishka esterhazy,"katie douglas, celina martin, peter outerbridge, sara canning, alexis whelan, amalia williamson, josette halpert, kiana madeira",Canada,2021-09-01,2018,tv-14,102,"sci-fi & fantasy, thrillers","in a bleak academy that teaches girls the virtues of passivity, two students uncover the ghastly purpose behind their training and resolve to escape."
s159,movie,love don't cost a thing,troy byer,"nick cannon, christina milian, kenan thompson, kal penn, steve harvey, al thompson, ashley monique clark, elimu nelson, nichole robinson, melissa schuman",United States,2021-09-01,2003,pg-13,101,"comedies, romantic movies",a nerdy teen tries to make himself cool by association when he convinces a popular cheerleader to pose as his girlfriend.
s160,movie,love in a puff,pang ho-cheung,"miriam chin wah yeung, shawn yue, singh hartihan bitto, isabel chan, cheung tat-ming, matt chow, chui tien-you, queenie chu, charmaine fong, vincent kok",Hong Kong,2021-09-01,2010,tv-ma,103,"comedies, dramas, international movies","when the hong kong government enacts a ban on smoking cigarettes indoors, the new law drives hard-core smokers outside, facilitating unlikely connections."
s162,movie,mars attacks!,tim burton,"jack nicholson, glenn close, annette bening, pierce brosnan, danny devito, martin short, sarah jessica parker, michael j. fox, rod steiger, tom jones, lukas haas, natalie portman",United States,2021-09-01,1996,pg-13,106,"comedies, cult movies, sci-fi & fantasy","as flying saucers head for earth, the president of the united states prepares to welcome alien visitors but soon learns they're not coming in peace."
s163,movie,marshall,reginald hudlin,"chadwick boseman, josh gad, kate hudson, sterling k. brown, dan stevens, james cromwell, keesha sharp, roger guenveur smith, derrick baskin, barrett doss","United States, China, Hong Kong",2021-09-01,2017,pg-13,118,dramas,"this biopic of thurgood marshall, the first black u.s. supreme court justice, centers on his pivotal work in a sensational case as an naacp lawyer."
s164,movie,my boss's daughter,david zucker,"ashton kutcher, tara reid, jeffrey tambor, andy richter, michael madsen, jon abrahams, david koechner, carmen electra, kenan thompson, terence stamp, molly shannon",United States,2021-09-01,2003,r,86,"comedies, romantic movies","a young man house-sits for his mean boss, hoping to use it as an opportunity to win the heart of the boss's daughter, on whom he's long had a crush."
s165,movie,mystery men,kinka usher,"ben stiller, hank azaria, william h. macy, janeane garofalo, kel mitchell, paul reubens, wes studi, greg kinnear, geoffrey rush, lena olin, eddie izzard, artie lange, pras, claire forlani, tom waits",United States,2021-09-01,1999,pg-13,121,"action & adventure, comedies",a team of far-from-super heroes try to earn respect by springing into action when brave and dashing captain amazing disappears.
s167,movie,once upon a time in america,sergio leone,"robert de niro, james woods, elizabeth mcgovern, treat williams, tuesday weld, burt young, joe pesci, danny aiello, william forsythe, james hayden","Italy, United States",2021-09-01,1984,r,229,"classic movies, dramas",director sergio leone's sprawling crime epic follows a group of jewish mobsters who rise in the ranks of organized crime in 1920s new york city.
s168,movie,open season 2,"matthew o'callaghan, todd wilderman","joel mchale, mike epps, jane krakowski, billy connolly, crispin glover, steve schirripa, georgia engel, diedrich bader, cody cameron, fred stoller, olivia hack","United States, Canada",2021-09-01,2008,pg,76,"children & family movies, comedies",elliot the buck and his forest-dwelling cohorts must rescue their dachshund pal from some spoiled pets bent on returning him to domesticity.
s169,movie,osmosis jones,"bobby farrelly, peter farrelly","chris rock, laurence fishburne, david hyde pierce, brandy norwood, william shatner, ron howard, kid rock, ben stein",United States,2021-09-01,2001,pg,95,"action & adventure, children & family movies, comedies",peter and bobby farrelly outdo themselves with this partially animated tale about an out-of-shape 40-year-old man who's the host to various organisms.
s170,movie,poseidon,wolfgang petersen,"josh lucas, kurt russell, jacinda barrett, richard dreyfuss, emmy rossum, mía maestro, mike vogel, kevin dillon, freddy rodríguez",United States,2021-09-01,2006,pg-13,98,"action & adventure, dramas","a tidal wave spells disaster for a ship of new year's eve revelers when it capsizes the mammoth vessel, sending passengers into a battle for survival."
s171,movie,rhyme & reason,peter spirer,"too $hort, b-real, kurtis blow, da brat, grandmaster caz, sean ""p. diddy"" combs, chuck d., desiree densiti, dr. dre, e-40, mc eiht, heavy d, lauryn hill, ice-t, wyclef jean, ras kass, krs-one, l.v., mack 10, craig mack, method man, keith murray, nasir 'nas' jones, the notorious b.i.g., master p, q-tip, raekwon, redman, senen reyes, busta rhymes, rza, dj scratch, erick sermon, tupac shakur, adario strange, suave",United States,2021-09-01,1997,r,89,"documentaries, music & musicals","the world and culture of rap song topics such as race, violence, police, family and sex are examined by hip-hop performers from both coasts."
s172,movie,same kind of different as me,michael carney,"greg kinnear, renée zellweger, djimon hounsou, jon voight, olivia holt",United States,2021-09-01,2017,pg-13,120,"dramas, faith & spirituality",a wealthy couple whose marriage is on the rocks befriends a local homeless man who changes their perspectives in this inspiring true story.
s173,movie,school of rock,richard linklater,"jack black, joan cusack, mike white, sarah silverman, lee wilkof, kate mcgregor-stewart, adam pascal, suzzanne douglas, miranda cosgrove, kevin alexander clark, joey gaydos jr., robert tsai, veronica afflerbach, jordan-claire green","United States, Germany",2021-09-01,2003,pg-13,110,"comedies, music & musicals","musician dewey finn gets a job as a fourth-grade substitute teacher, where he secretly begins teaching his students the finer points of rock 'n' roll."
s174,movie,snervous tyler oakley,amy rice,tyler oakley,United States,2021-09-01,2015,pg-13,83,"documentaries, lgbtq movies","the inspiring internet star and lgbt advocate shares an intimate view of his life and relationships during his international ""slumber party"" tour."
